Protein ID,Protein_ID,Entry Name,Description,Description1,AIFM1_1,AIFM1_2,AIFM1_3,AIFM1_4,AKIP_1,AKIP_2,AKIP_3,AKIP_4,ARP2_1,ARP2_2,ARP2_3,ARP2_4,ARP3B_1,ARP3B_2,ARP3B_3,ARP3B_4,ARPC1B_1,ARPC1B_2,ARPC1B_3,ARPC1B_4,BET1_1,BET1_2,BET1_3,BET1_4
A1X283,A1X283,SPD2B_HUMAN,SH3 and PX domain-containing protein 2B,SH3 and PX domain-containing protein 2B,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A2RRP1,A2RRP1,NBAS_HUMAN,NBAS subunit of NRZ tethering complex,NBAS subunit of NRZ tethering complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2RTX5,A2RTX5,SYTC2_HUMAN,"Threonine--tRNA ligase 2, cytoplasmic","Threonine--tRNA ligase 2, cytoplasmic",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
A2RU67,A2RU67,F234B_HUMAN,Protein FAM234B,Protein FAM234B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3KMH1,A3KMH1,VWA8_HUMAN,von Willebrand factor A domain-containing protein 8,von Willebrand factor A domain-containing protein 8,1,0,0,0,16,17,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3KN83,A3KN83,SBNO1_HUMAN,Protein strawberry notch homolog 1,Protein strawberry notch homolog 1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A4D161,A4D161,F221A_HUMAN,Protein FAM221A,Protein FAM221A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4D1E9,A4D1E9,GTPBA_HUMAN,GTP-binding protein 10,GTP-binding protein 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4D1P6,A4D1P6,WDR91_HUMAN,WD repeat-containing protein 91,WD repeat-containing protein 91,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A5PLN9,A5PLN9,TPC13_HUMAN,Trafficking protein particle complex subunit 13,Trafficking protein particle complex subunit 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5YKK6,A5YKK6,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1,CCR4-NOT transcription complex subunit 1,0,0,0,0,3,2,4,4,2,2,0,1,0,1,1,1,9,7,5,5,0,0,0,0
A6ND36,A6ND36,FA83G_HUMAN,Protein FAM83G,Protein FAM83G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NDU8,A6NDU8,RIMC1_HUMAN,RAB7A-interacting MON1-CCZ1 complex subunit 1,RAB7A-interacting MON1-CCZ1 complex subunit 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NFI3,A6NFI3,ZN316_HUMAN,Zinc finger protein 316,Zinc finger protein 316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NHL2,A6NHL2,TBAL3_HUMAN,Tubulin alpha chain-like 3,Tubulin alpha chain-like 3,3,3,0,3,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
A6NHQ2,A6NHQ2,FBLL1_HUMAN,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NHR9,A6NHR9,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,0,0,0,1,4,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A6NIH7,A6NIH7,U119B_HUMAN,Protein unc-119 homolog B,Protein unc-119 homolog B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NIR3,A6NIR3,AGAP5_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NJ78,A6NJ78,MET15_HUMAN,12S rRNA N4-methylcytidine (m4C) methyltransferase,12S rRNA N4-methylcytidine (m4C) methyltransferase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NKD9,A6NKD9,CC85C_HUMAN,Coiled-coil domain-containing protein 85C,Coiled-coil domain-containing protein 85C,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0
A6NLU0,A6NLU0,RFPLA_HUMAN,Ret finger protein-like 4A,Ret finger protein-like 4A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NNZ2,A6NNZ2,TBB8B_HUMAN,Tubulin beta 8B,Tubulin beta 8B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7E2V4,A7E2V4,ZSWM8_HUMAN,Zinc finger SWIM domain-containing protein 8,Zinc finger SWIM domain-containing protein 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7KAX9,A7KAX9,RHG32_HUMAN,Rho GTPase-activating protein 32,Rho GTPase-activating protein 32,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
A7MCY6,A7MCY6,TBKB1_HUMAN,TANK-binding kinase 1-binding protein 1,TANK-binding kinase 1-binding protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8CG34,A8CG34,P121C_HUMAN,Nuclear envelope pore membrane protein POM 121C,Nuclear envelope pore membrane protein POM 121C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8MPP1,A8MPP1,D11L8_HUMAN,Putative ATP-dependent RNA helicase DDX11-like protein 8,Putative ATP-dependent RNA helicase DDX11-like protein 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8MQ14,A8MQ14,ZN850_HUMAN,Zinc finger protein 850,Zinc finger protein 850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8MTY0,A8MTY0,ZN724_HUMAN,Zinc finger protein 724,Zinc finger protein 724,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8MWD9,A8MWD9,RUXGL_HUMAN,Putative small nuclear ribonucleoprotein G-like protein 15,Putative small nuclear ribonucleoprotein G-like protein 15,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A8MWY0,A8MWY0,ELAP2_HUMAN,Endosome/lysosome-associated apoptosis and autophagy regulator family member 2,Endosome/lysosome-associated apoptosis and autophagy regulator family member 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
A8MXV4,A8MXV4,NUD19_HUMAN,Acyl-coenzyme A diphosphatase NUDT19,Acyl-coenzyme A diphosphatase NUDT19,9,4,8,10,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B2RTY4,B2RTY4,MYO9A_HUMAN,Unconventional myosin-IXa,Unconventional myosin-IXa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B7ZAQ6,B7ZAQ6,GPHRA_HUMAN,Golgi pH regulator A,Golgi pH regulator A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
C4AMC7,C4AMC7,WASH3_HUMAN,Putative WAS protein family homolog 3,Putative WAS protein family homolog 3,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,3,3,4,1,0,1,0,1
C9JLW8,C9JLW8,MCRI1_HUMAN,Mapk-regulated corepressor-interacting protein 1,Mapk-regulated corepressor-interacting protein 1,4,4,4,3,4,3,4,3,1,1,1,1,2,2,3,3,3,2,2,3,4,4,5,4
C9JPN9,C9JPN9,UL17C_HUMAN,Ubiquitin carboxyl-terminal hydrolase 17-like protein 12,Ubiquitin carboxyl-terminal hydrolase 17-like protein 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E9PAV3,E9PAV3,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",2,3,3,2,4,4,5,4,0,0,0,0,0,0,0,0,4,4,3,3,2,2,2,2
E9PRG8,E9PRG8,CK098_HUMAN,Uncharacterized protein C11orf98,Uncharacterized protein C11orf98,0,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
L0R6Q1,L0R6Q1,S35U4_HUMAN,SLC35A4 upstream open reading frame protein,SLC35A4 upstream open reading frame protein,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L0R819,L0R819,ASURF_HUMAN,ASNSD1 upstream open reading frame protein,ASNSD1 upstream open reading frame protein,0,0,0,1,0,1,1,1,2,2,3,2,2,3,2,1,0,0,1,2,0,0,0,0
L0R8F8,L0R8F8,MIDUO_HUMAN,Mitochondrial ribosome and complex I assembly factor AltMIEF1,Mitochondrial ribosome and complex I assembly factor AltMIEF1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00116,O00116,ADAS_HUMAN,"Alkyldihydroxyacetonephosphate synthase, peroxisomal","Alkyldihydroxyacetonephosphate synthase, peroxisomal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00124,O00124,UBXN8_HUMAN,UBX domain-containing protein 8,UBX domain-containing protein 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00139,O00139,KIF2A_HUMAN,Kinesin-like protein KIF2A,Kinesin-like protein KIF2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
O00148,O00148,DX39A_HUMAN,ATP-dependent RNA helicase DDX39A,ATP-dependent RNA helicase DDX39A,29,34,28,28,8,9,7,7,3,5,3,4,8,4,6,5,4,1,4,4,18,18,18,18
O00151,O00151,PDLI1_HUMAN,PDZ and LIM domain protein 1,PDZ and LIM domain protein 1,12,14,14,14,8,10,11,12,7,3,7,6,5,5,4,6,11,10,13,10,6,5,3,4
O00159,O00159,MYO1C_HUMAN,Unconventional myosin-Ic,Unconventional myosin-Ic,0,0,0,0,0,0,2,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0
O00160,O00160,MYO1F_HUMAN,Unconventional myosin-If,Unconventional myosin-If,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00161,O00161,SNP23_HUMAN,Synaptosomal-associated protein 23,Synaptosomal-associated protein 23,0,0,0,0,2,1,0,1,2,1,1,0,1,0,0,0,1,2,3,0,5,9,9,9
O00165,O00165,HAX1_HUMAN,HCLS1-associated protein X-1,HCLS1-associated protein X-1,25,23,23,22,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
O00170,O00170,AIP_HUMAN,AH receptor-interacting protein,AH receptor-interacting protein,1,0,0,0,0,0,0,0,5,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0
O00178,O00178,GTPB1_HUMAN,GTP-binding protein 1,GTP-binding protein 1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
O00186,O00186,STXB3_HUMAN,Syntaxin-binding protein 3,Syntaxin-binding protein 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
O00193,O00193,SMAP_HUMAN,Small acidic protein,Small acidic protein,1,1,0,1,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
O00203,O00203,AP3B1_HUMAN,AP-3 complex subunit beta-1,AP-3 complex subunit beta-1,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,1
O00213,O00213,APBB1_HUMAN,Amyloid beta precursor protein binding family B member 1,Amyloid beta precursor protein binding family B member 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3
O00217,O00217,NDUS8_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1,2,3,2,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O00221,O00221,IKBE_HUMAN,NF-kappa-B inhibitor epsilon,NF-kappa-B inhibitor epsilon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00231,O00231,PSD11_HUMAN,26S proteasome non-ATPase regulatory subunit 11,26S proteasome non-ATPase regulatory subunit 11,5,5,5,4,14,11,11,10,8,7,6,6,9,7,5,10,6,5,4,5,4,3,3,5
O00232,O00232,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12,26S proteasome non-ATPase regulatory subunit 12,1,4,4,3,6,8,8,9,5,7,6,6,7,10,10,9,1,2,3,3,0,0,1,1
O00233,O00233,PSMD9_HUMAN,26S proteasome non-ATPase regulatory subunit 9,26S proteasome non-ATPase regulatory subunit 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00255,O00255,MEN1_HUMAN,Menin,Menin,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
O00257,O00257,CBX4_HUMAN,E3 SUMO-protein ligase CBX4,E3 SUMO-protein ligase CBX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00264,O00264,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1,Membrane-associated progesterone receptor component 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
O00267,O00267,SPT5H_HUMAN,Transcription elongation factor SPT5,Transcription elongation factor SPT5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O00268,O00268,TAF4_HUMAN,Transcription initiation factor TFIID subunit 4,Transcription initiation factor TFIID subunit 4,0,0,0,0,3,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00273,O00273,DFFA_HUMAN,DNA fragmentation factor subunit alpha,DNA fragmentation factor subunit alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00287,O00287,RFXAP_HUMAN,Regulatory factor X-associated protein,Regulatory factor X-associated protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00291,O00291,HIP1_HUMAN,Huntingtin-interacting protein 1,Huntingtin-interacting protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00299,O00299,CLIC1_HUMAN,Chloride intracellular channel protein 1,Chloride intracellular channel protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00330,O00330,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial","Pyruvate dehydrogenase protein X component, mitochondrial",0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00399,O00399,DCTN6_HUMAN,Dynactin subunit 6,Dynactin subunit 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00400,O00400,ACATN_HUMAN,Acetyl-coenzyme A transporter 1,Acetyl-coenzyme A transporter 1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O00401,O00401,WASL_HUMAN,Actin nucleation-promoting factor WASL,Actin nucleation-promoting factor WASL,1,0,0,0,0,1,0,0,2,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0
O00410,O00410,IPO5_HUMAN,Importin-5,Importin-5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,3,2,1,0
O00411,O00411,RPOM_HUMAN,"DNA-directed RNA polymerase, mitochondrial","DNA-directed RNA polymerase, mitochondrial",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
O00418,O00418,EF2K_HUMAN,Eukaryotic elongation factor 2 kinase,Eukaryotic elongation factor 2 kinase,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
O00422,O00422,SAP18_HUMAN,Histone deacetylase complex subunit SAP18,Histone deacetylase complex subunit SAP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O00425,O00425,IF2B3_HUMAN,Insulin-like growth factor 2 mRNA-binding protein 3,Insulin-like growth factor 2 mRNA-binding protein 3,3,2,4,3,9,10,12,10,0,2,0,1,0,0,1,0,3,2,5,3,10,10,9,8
O00429,O00429,DNM1L_HUMAN,Dynamin-1-like protein,Dynamin-1-like protein,63,69,75,62,13,16,12,15,4,4,5,5,1,0,1,1,2,1,2,2,10,4,3,4
O00443,O00443,P3C2A_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00458,O00458,IFRD1_HUMAN,Interferon-related developmental regulator 1,Interferon-related developmental regulator 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
O00459,O00459,P85B_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit beta,Phosphatidylinositol 3-kinase regulatory subunit beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00471,O00471,EXOC5_HUMAN,Exocyst complex component 5,Exocyst complex component 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00483,O00483,NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4,Cytochrome c oxidase subunit NDUFA4,2,1,2,1,0,2,1,0,0,1,1,0,1,2,2,0,1,1,0,0,1,2,1,2
O00487,O00487,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14,26S proteasome non-ATPase regulatory subunit 14,2,0,2,2,4,4,6,5,3,3,3,2,1,2,2,3,2,3,3,2,0,0,1,0
O00499,O00499,BIN1_HUMAN,Myc box-dependent-interacting protein 1,Myc box-dependent-interacting protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00505,O00505,IMA4_HUMAN,Importin subunit alpha-4,Importin subunit alpha-4,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
O00512,O00512,BCL9_HUMAN,B-cell CLL/lymphoma 9 protein,B-cell CLL/lymphoma 9 protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00541,O00541,PESC_HUMAN,Pescadillo homolog,Pescadillo homolog,1,1,2,2,13,9,11,10,0,1,0,1,1,0,0,0,1,4,2,2,4,4,4,5
O00559,O00559,RCAS1_HUMAN,Receptor-binding cancer antigen expressed on SiSo cells,Receptor-binding cancer antigen expressed on SiSo cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
O00560,O00560,SDCB1_HUMAN,Syntenin-1,Syntenin-1,2,1,2,2,5,5,2,4,3,4,3,3,3,3,2,3,3,2,4,0,4,10,5,5
O00566,O00566,MPP10_HUMAN,U3 small nucleolar ribonucleoprotein protein MPP10,U3 small nucleolar ribonucleoprotein protein MPP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00567,O00567,NOP56_HUMAN,Nucleolar protein 56,Nucleolar protein 56,2,3,4,3,19,20,21,20,0,0,1,0,0,0,0,1,4,6,4,2,14,14,5,9
O00571,O00571,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X,ATP-dependent RNA helicase DDX3X,14,18,15,16,4,3,7,4,4,2,2,4,2,4,3,2,11,13,13,10,9,8,10,7
O00592,O00592,PODXL_HUMAN,Podocalyxin,Podocalyxin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00623,O00623,PEX12_HUMAN,Peroxisome assembly protein 12,Peroxisome assembly protein 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00629,O00629,IMA3_HUMAN,Importin subunit alpha-3,Importin subunit alpha-3,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
O00712,O00712,NFIB_HUMAN,Nuclear factor 1 B-type,Nuclear factor 1 B-type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00716,O00716,E2F3_HUMAN,Transcription factor E2F3,Transcription factor E2F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00743,O00743,PPP6_HUMAN,Serine/threonine-protein phosphatase 6 catalytic subunit,Serine/threonine-protein phosphatase 6 catalytic subunit,0,0,1,0,3,4,3,3,5,8,8,9,2,4,4,2,9,6,8,4,2,1,1,0
O00746,O00746,NDKM_HUMAN,"Nucleoside diphosphate kinase, mitochondrial","Nucleoside diphosphate kinase, mitochondrial",0,1,0,0,5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00762,O00762,UBE2C_HUMAN,Ubiquitin-conjugating enzyme E2 C,Ubiquitin-conjugating enzyme E2 C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00763,O00763,ACACB_HUMAN,Acetyl-CoA carboxylase 2,Acetyl-CoA carboxylase 2,7,5,9,8,31,29,23,22,15,9,14,7,9,12,14,9,13,9,15,13,32,27,35,35
O00764,O00764,PDXK_HUMAN,Pyridoxal kinase,Pyridoxal kinase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14495,O14495,PLPP3_HUMAN,Phospholipid phosphatase 3,Phospholipid phosphatase 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14497,O14497,ARI1A_HUMAN,AT-rich interactive domain-containing protein 1A,AT-rich interactive domain-containing protein 1A,0,0,0,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14519,O14519,CDKA1_HUMAN,Cyclin-dependent kinase 2-associated protein 1,Cyclin-dependent kinase 2-associated protein 1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14523,O14523,C2C2L_HUMAN,Phospholipid transfer protein C2CD2L,Phospholipid transfer protein C2CD2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
