Protein IDs,Majority_protein_IDs,Protein names,Gene names,Fasta headers,APC1-1,APC1-2,APC1-3,BRE2-1,BRE2-2,BRE2-3,BY4741-1,BY4741-2,BY4741-3,CCR4-1,CCR4-2,CCR4-3,NOT3-1,NOT3-2,NOT3-3,ORM1-1,ORM1-2,ORM1-3,ORM2-1,ORM2-2,ORM2-3
P00410,P00410,Cytochrome c oxidase subunit 2,COX2,>sp|P00410|COX2_YEAST Cytochrome c oxidase subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P00498,P00498,ATP phosphoribosyltransferase,HIS1,>sp|P00498|HIS1_YEAST ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS1 PE=1 SV=1,2,0,2,2,5,3,2,1,0,2,2,2,2,0,0,1,1,1,0,0,2
P00546;P17157,P00546,Cyclin-dependent kinase 1,CDC28,>sp|P00546|CDK1_YEAST Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1,0,1,0,2,2,2,2,2,1,3,1,3,1,1,2,2,0,2,1,2,1
P00549,P00549,Pyruvate kinase 1,CDC19,>sp|P00549|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,43,32,43,47,43,42,43,39,38,42,36,44,44,42,39,32,29,31,32,33,29
P00560,P00560,Phosphoglycerate kinase,PGK1,>sp|P00560|PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,29,16,25,22,18,21,19,20,21,14,21,18,16,16,20,19,13,18,16,15,22
P00729,P00729,Carboxypeptidase Y,PRC1,>sp|P00729|CBPY_YEAST Carboxypeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRC1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
P00815,P00815,Histidine biosynthesis trifunctional protein;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphohydrolase;Histidinol dehydrogenase,HIS4,>sp|P00815|HIS2_YEAST Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS4 PE=1 SV=3,3,1,2,7,7,4,7,3,4,5,2,5,2,0,0,5,2,8,6,7,7
P00817,P00817,Inorganic pyrophosphatase,IPP1,>sp|P00817|IPYR_YEAST Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4,2,1,0,1,1,1,2,2,3,0,0,0,0,2,1,1,3,1,1,2,1
P00830,P00830,"ATP synthase subunit beta, mitochondrial",ATP2,">sp|P00830|ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",8,3,9,7,4,3,5,9,7,8,10,7,3,1,3,5,3,8,7,5,7
P00890,P00890,"Citrate synthase, mitochondrial",CIT1,">sp|P00890|CISY1_YEAST Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT1 PE=1 SV=2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P00899,P00899,Anthranilate synthase component 1,TRP2,>sp|P00899|TRPE_YEAST Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP2 PE=1 SV=4,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P00924,P00924,Enolase 1,ENO1,>sp|P00924|ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3,0,0,0,1,0,0,2,2,1,0,0,0,2,0,0,0,1,2,2,3,2
P00925,P00925,Enolase 2,ENO2,>sp|P00925|ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,12,13,15,6,10,8,9,8,10,10,9,8,7,10,9,8,7,11,10,8,9
P00927,P00927,"Threonine dehydratase, mitochondrial",ILV1,">sp|P00927|THDH_YEAST Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV1 PE=1 SV=2",0,1,1,5,6,6,8,3,7,1,2,2,1,0,1,3,1,5,5,4,3
P00931,P00931,Tryptophan synthase,TRP5,>sp|P00931|TRP_YEAST Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP5 PE=1 SV=1,2,2,3,3,3,3,2,4,2,1,2,2,1,2,3,2,1,5,2,2,2
P00937,P00937,Anthranilate synthase component 2;Glutamine amidotransferase;Indole-3-glycerol phosphate synthase,TRP3,>sp|P00937|TRPG_YEAST Anthranilate synthase component 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP3 PE=1 SV=2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0
P00942,P00942,Triosephosphate isomerase,TPI1,>sp|P00942|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2,3,5,3,5,5,4,4,2,5,2,2,2,2,4,3,3,4,5,5,3,5
P00950,P00950,Phosphoglycerate mutase 1,GPM1,>sp|P00950|PMG1_YEAST Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3,6,7,8,8,4,3,10,6,6,5,6,9,6,5,8,6,6,9,7,10,6
P00958,P00958,"Methionine--tRNA ligase, cytoplasmic",MES1,">sp|P00958|SYMC_YEAST Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MES1 PE=1 SV=4",10,4,10,18,15,12,10,13,11,5,6,7,7,8,7,9,4,9,8,6,12
P01120,P01120,Ras-like protein 2,RAS2,>sp|P01120|RAS2_YEAST Ras-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAS2 PE=1 SV=4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
P01123,P01123,GTP-binding protein YPT1,YPT1,>sp|P01123|YPT1_YEAST GTP-binding protein YPT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT1 PE=1 SV=2,0,0,1,1,1,1,1,0,1,2,1,0,0,1,1,0,0,0,1,0,0
P02293,P02293,Histone H2B.1,HTB1,>sp|P02293|H2B1_YEAST Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTB1 PE=1 SV=2,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
P02294,P02294,Histone H2B.2,HTB2,>sp|P02294|H2B2_YEAST Histone H2B.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTB2 PE=1 SV=2,10,17,13,11,13,12,13,14,11,12,9,10,8,12,14,8,5,11,10,9,8
P02309,P02309,Histone H4,HHF1,>sp|P02309|H4_YEAST Histone H4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HHF1 PE=1 SV=2,21,11,18,18,20,18,17,19,17,16,16,18,18,11,18,16,11,16,17,18,16
P02381,P02381,"Ribosomal protein VAR1, mitochondrial",VAR1,">sp|P02381|RMAR_YEAST Ribosomal protein VAR1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAR1 PE=1 SV=3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
P02400,P02400,60S acidic ribosomal protein P2-beta,RPP2B,>sp|P02400|RLA4_YEAST 60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2B PE=1 SV=2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
P02406,P02406,60S ribosomal protein L28,RPL28,>sp|P02406|RL28_YEAST 60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL28 PE=1 SV=3,15,6,13,14,13,10,13,15,13,10,11,8,9,13,7,11,7,11,11,8,10
P02557,P02557,Tubulin beta chain,TUB2,>sp|P02557|TBB_YEAST Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB2 PE=1 SV=2,1,2,3,6,4,4,6,6,4,4,3,4,3,2,1,2,4,3,3,3,3
P02829,P02829,ATP-dependent molecular chaperone HSP82,HSP82,>sp|P02829|HSP82_YEAST ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP82 PE=1 SV=1,0,0,1,0,0,1,1,1,0,0,0,2,2,1,1,1,1,0,1,1,1
P02992,P02992,"Elongation factor Tu, mitochondrial",TUF1,">sp|P02992|EFTU_YEAST Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUF1 PE=1 SV=1",5,3,5,4,3,2,3,2,2,3,2,4,3,3,3,4,3,1,3,3,3
P02994,P02994,Elongation factor 1-alpha,TEF1,>sp|P02994|EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,130,113,139,119,120,120,96,81,101,123,105,115,109,124,77,66,42,67,66,67,68
P03871,P03871,Partitioning protein REP1,REP1,>sp|P03871|REP1_YEAST Partitioning protein REP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REP1 PE=1 SV=1,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
P03872,P03872,Partitioning protein REP2,REP2,>sp|P03872|REP2_YEAST Partitioning protein REP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REP2 PE=1 SV=1,2,3,1,1,1,1,3,3,2,1,0,1,0,0,0,0,0,0,0,0,2
P03874,P03874,Cytochrome B pre-mRNA-processing protein 2,CBP2,>sp|P03874|CBP2_YEAST Cytochrome B pre-mRNA-processing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBP2 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03875,P03875,Putative COX1/OXI3 intron 1 protein,aI1,>sp|P03875|AI1M_YEAST Putative COX1/OXI3 intron 1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=aI1 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P03965,P03965,Carbamoyl-phosphate synthase arginine-specific large chain,CPA2,>sp|P03965|CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,2,1,1
P04046,P04046,Amidophosphoribosyltransferase,ADE4,>sp|P04046|PUR1_YEAST Amidophosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE4 PE=1 SV=2,7,1,4,8,6,9,10,10,7,6,5,5,3,2,3,8,3,9,7,6,9
P04050,P04050,DNA-directed RNA polymerase II subunit RPB1,RPO21,>sp|P04050|RPB1_YEAST DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO21 PE=1 SV=2,5,7,6,9,7,6,7,10,6,3,5,5,7,11,6,6,3,7,5,2,4
P04051,P04051,DNA-directed RNA polymerase III subunit RPC1,RPO31,>sp|P04051|RPC1_YEAST DNA-directed RNA polymerase III subunit RPC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO31 PE=1 SV=1,1,0,1,2,1,2,1,2,1,0,0,0,0,0,1,1,1,0,1,1,2
P04147,P04147,"Polyadenylate-binding protein, cytoplasmic and nuclear",PAB1,">sp|P04147|PABP_YEAST Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4",8,5,8,9,6,5,7,7,7,8,6,6,3,4,2,8,4,8,7,6,6
P04161,P04161,Phosphoribosylglycinamide formyltransferase,ADE8,>sp|P04161|PUR3_YEAST Phosphoribosylglycinamide formyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE8 PE=1 SV=1,1,0,0,3,2,4,3,3,3,0,1,1,0,1,0,3,1,2,2,2,2
P04449,P04449,60S ribosomal protein L24-A,RPL24A,>sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1,3,2,4,3,4,4,5,4,3,4,3,1,2,2,4,1,1,3,1,2,3
P04456,P04456,60S ribosomal protein L25,RPL25,>sp|P04456|RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL25 PE=1 SV=4,22,11,22,21,21,21,17,16,16,20,18,17,16,18,17,13,10,11,13,8,12
P04650,P04650,60S ribosomal protein L39,RPL39,>sp|P04650|RL39_YEAST 60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL39 PE=1 SV=3,5,5,3,4,4,3,3,5,5,2,0,2,2,1,1,2,0,1,2,2,2
P04710,P04710,"ADP,ATP carrier protein 1",AAC1,">sp|P04710|ADT1_YEAST ADP,ATP carrier protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAC1 PE=1 SV=1",0,1,0,0,0,0,1,1,1,2,1,0,0,1,0,1,0,1,0,2,1
P04786,P04786,DNA topoisomerase 1,TOP1,>sp|P04786|TOP1_YEAST DNA topoisomerase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOP1 PE=1 SV=2,2,1,1,11,8,6,4,5,5,3,2,1,3,2,1,2,2,2,3,0,3
P04801,P04801,"Threonine--tRNA ligase, cytoplasmic",THS1,">sp|P04801|SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2",37,35,41,47,48,39,35,38,38,36,35,34,30,33,29,27,17,34,29,27,29
P04802,P04802,"Aspartate--tRNA ligase, cytoplasmic",DPS1,">sp|P04802|SYDC_YEAST Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3",48,37,50,49,44,46,39,35,36,39,42,42,34,38,40,35,26,36,39,36,31
P04803,P04803,"Tryptophan--tRNA ligase, mitochondrial",MSW1,">sp|P04803|SYWM_YEAST Tryptophan--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSW1 PE=1 SV=2",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
P04806,P04806,Hexokinase-1,HXK1,>sp|P04806|HXKA_YEAST Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK1 PE=1 SV=2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,1
P04807,P04807,Hexokinase-2,HXK2,>sp|P04807|HXKB_YEAST Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4,2,3,5,1,1,2,3,2,3,4,3,3,2,2,2,2,1,2,3,1,3
P04819-2;P04819,P04819-2,DNA ligase 1,CDC9,>sp|P04819-2|DNLI1_YEAST Isoform Nuclear of DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC9;>sp|P04819|DNLI1_YEAST DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC9 PE=1 SV=2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04821,P04821,Cell division control protein 25,CDC25,>sp|P04821|CDC25_YEAST Cell division control protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC25 PE=1 SV=1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1
P04840,P04840,Mitochondrial outer membrane protein porin 1,POR1,>sp|P04840|VDAC1_YEAST Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POR1 PE=1 SV=4,0,2,1,3,1,0,5,7,6,1,0,0,0,0,0,5,2,5,6,3,6
P04912;P04911,P04912,Histone H2A.2;Histone H2A.1,HTA2;HTA1,>sp|P04912|H2A2_YEAST Histone H2A.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTA2 PE=1 SV=2;>sp|P04911|H2A1_YEAST Histone H2A.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTA1 PE=1 SV=2,11,7,13,9,8,7,7,7,6,6,9,9,10,13,10,6,5,6,4,5,7
P05030;P19657,P05030,Plasma membrane ATPase 1;Plasma membrane ATPase 2,PMA1;PMA2,>sp|P05030|PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2;>sp|P19657|PMA2_YEAST Plasma membrane ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA2 PE=1 SV=3,63,48,61,64,62,60,79,81,77,44,50,49,50,50,45,59,41,65,55,61,59
P05317,P05317,60S acidic ribosomal protein P0,RPP0,>sp|P05317|RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,23,16,22,17,17,20,16,16,17,15,16,17,18,17,13,17,10,16,17,13,15
P05318,P05318,60S acidic ribosomal protein P1-alpha,RPP1A,>sp|P05318|RLA1_YEAST 60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1A PE=1 SV=4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05319,P05319,60S acidic ribosomal protein P2-alpha,RPP2A,>sp|P05319|RLA2_YEAST 60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2A PE=1 SV=1,1,1,1,1,1,0,1,1,0,1,2,1,1,2,2,1,1,0,0,0,0
P05374,P05374,Phosphatidylethanolamine N-methyltransferase,CHO2,>sp|P05374|CHO2_YEAST Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHO2 PE=1 SV=1,3,1,3,5,6,2,3,3,4,5,4,3,2,3,2,3,1,2,0,1,0
P05453,P05453,Eukaryotic peptide chain release factor GTP-binding subunit,SUP35,>sp|P05453|ERF3_YEAST Eukaryotic peptide chain release factor GTP-binding subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUP35 PE=1 SV=1,19,18,23,22,18,15,15,13,12,18,20,18,14,21,16,6,2,8,6,9,7
P05626,P05626,"ATP synthase subunit 4, mitochondrial",ATP4,">sp|P05626|ATPF_YEAST ATP synthase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP4 PE=1 SV=2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05694,P05694,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,MET6,>sp|P05694|METE_YEAST 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET6 PE=1 SV=4,0,0,2,3,1,1,5,3,2,1,0,0,0,0,1,3,0,3,4,2,2
P05737,P05737,60S ribosomal protein L7-A,RPL7A,>sp|P05737|RL7A_YEAST 60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7A PE=1 SV=3,23,22,23,24,31,20,20,19,21,19,20,22,18,22,19,15,16,17,17,16,18
P05738,P05738,60S ribosomal protein L9-A,RPL9A,>sp|P05738|RL9A_YEAST 60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL9A PE=1 SV=2,14,12,15,15,14,13,16,14,14,13,12,13,12,13,14,10,7,13,13,9,14
P05739,P05739,60S ribosomal protein L6-B,RPL6B,>sp|P05739|RL6B_YEAST 60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6B PE=1 SV=4,26,19,22,26,28,24,23,20,18,23,20,22,22,26,23,20,10,15,13,16,13
P05740,P05740,60S ribosomal protein L17-A,RPL17A,>sp|P05740|RL17A_YEAST 60S ribosomal protein L17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL17A PE=1 SV=4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
P05743,P05743,60S ribosomal protein L26-A,RPL26A,>sp|P05743|RL26A_YEAST 60S ribosomal protein L26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL26A PE=1 SV=3,1,2,2,2,0,3,1,2,3,2,2,2,2,2,2,2,1,2,3,3,2
P05744,P05744,60S ribosomal protein L33-A,RPL33A,>sp|P05744|RL33A_YEAST 60S ribosomal protein L33-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL33A PE=1 SV=3,15,10,17,13,13,13,13,12,13,11,11,10,13,13,10,9,10,9,11,11,9
P05745,P05745,60S ribosomal protein L36-A,RPL36A,>sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36A PE=1 SV=3,1,1,1,3,3,3,3,2,3,1,0,2,1,1,1,2,1,3,2,1,1
P05747,P05747,60S ribosomal protein L29,RPL29,>sp|P05747|RL29_YEAST 60S ribosomal protein L29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL29 PE=1 SV=3,3,2,2,2,2,2,2,1,1,2,2,0,2,3,2,1,1,1,1,2,1
